"","All Devices","Desktop","Mobile"
"2023年6月1日","2145988","1153045","992943"
"2023年6月2日","1844026","1084526","759500"
"2023年6月3日","1852935","763280","1103216"
"2023年6月4日","1495939","703374","1076298"
"2023年6月5日","1977925","1183300","794625"
"2023年6月6日","2106228","1168122","938106"
"2023年6月7日","1748543","1202072","801151"
"2023年6月8日","1859634","1071844","964521"
"2023年6月9日","1718696","1096568","759500"
"2023年6月10日","1859290","753342","1105948"
"2023年6月11日","1802460","694937","1107523"
"2023年6月12日","2355219","1134750","1220469"
"2023年6月13日","2458328","1167824","1290504"
"2023年6月14日","2087719","1286568","801151"
"2023年6月15日","2426509","1209362","1217147"
"2023年6月16日","2081172","1113855","967317"
"2023年6月17日","1925374","779536","1145838"
"2023年6月18日","1770738","694440","1076298"
"2023年6月19日","1839061","1192044","979073"
"2023年6月20日","1986228","1165164","821064"
"2023年6月21日","1958969","1139926","819043"
"2023年6月22日","2084330","1119809","964521"
"2023年6月23日","2018751","1006952","1011799"
"2023年6月24日","1852935","749719","1103216"
"2023年6月25日","1410591","681824","1076298"
"2023年6月26日","2094778","1115705","979073"
"2023年6月27日","2016271","1175686","840585"
"2023年6月28日","1587376","1065599","801151"
"2023年6月29日","2084330","1119809","964521"
"2023年6月30日","1844026","923371","759500"
"2023年7月1日","1459536","690086","769450"
"2023年7月2日","1911766","663267","1248499"
"2023年7月3日","1773316","1031907","741409"
"2023年7月4日","1964103","1066224","897879"
"2023年7月5日","2088100","1086969","1001131"
"2023年7月6日","2188279","1127045","1061234"
"2023年7月7日","2292554","1019588","1272966"
"2023年7月8日","1491381","755965","735416"
"2023年7月9日","1851979","673056","1238136"
"2023年7月10日","1794437","1080230","714207"
"2023年7月11日","2094914","1060419","944713"
"2023年7月12日","2189185","1160568","1028617"
"2023年7月13日","2177653","1135123","1042530"
"2023年7月14日","2113142","935397","1177745"
"2023年7月15日","1693124","728480","964644"
"2023年7月16日","2009283","711571","1297712"
"2023年7月17日","1626357","1009979","741409"
"2023年7月18日","2094914","1150201","944713"
"2023年7月19日","2123660","1086372","1037288"
"2023年7月20日","1992639","1129978","1018661"
"2023年7月21日","2176129","1009043","1167086"
"2023年7月22日","1426372","630234","796138"
"2023年7月23日","1851979","581758","1238136"
"2023年7月24日","2021095","1034325","986770"
"2023年7月25日","2332032","1103635","1228397"
"2023年7月26日","2123660","1077088","1028617"
"2023年7月27日","2075420","1056759","1018661"
"2023年7月28日","2176129","1009043","1167086"
"2023年7月29日","1535502","735091","800411"
"2023年7月30日","1851979","613843","1238136"
"2023年7月31日","1876976","1086612","790364"
"2023年8月1日","1644182","998023","805594"
"2023年8月2日","1667259","956406","710853"
"2023年8月3日","1798435","946428","852007"
"2023年8月4日","1445258","894169","780727"
"2023年8月5日","1512843","685611","827232"
"2023年8月6日","1541139","597685","943454"
"2023年8月7日","1769175","969776","977426"
"2023年8月8日","1826341","1025496","805594"
"2023年8月9日","1793519","1019584","773935"
"2023年8月10日","1724474","977005","747469"
"2023年8月11日","1842367","858879","983488"
"2023年8月12日","1523447","666831","890620"
"2023年8月13日","1399263","590282","808981"
"2023年8月14日","1983422","893006","1090416"
"2023年8月15日","1939974","912928","1027046"
"2023年8月16日","1960532","1018210","942322"
"2023年8月17日","1466323","937158","666751"
"2023年8月18日","1544261","953308","590953"
"2023年8月19日","1600019","636794","963225"
"2023年8月20日","1764807","614416","1150391"
"2023年8月21日","1981801","896656","1085145"
"2023年8月22日","1826341","1020747","805594"
"2023年8月23日","1872454","994764","877690"
"2023年8月24日","1667549","1000798","666751"
"2023年8月25日","1621817","841090","780727"
"2023年8月26日","1523447","632827","890620"
"2023年8月27日","1351723","651906","808981"
"2023年8月28日","2026659","1049233","977426"
"2023年8月29日","2201439","962606","1238833"
"2023年8月30日","1583021","932581","773935"
"2023年8月31日","1667549","883748","666751"
"2023年9月1日","1869705","830272","974266"
"2023年9月2日","1678549","607585","1070964"
