"","All Devices","Desktop","Mobile"
"2023年6月1日","9067","9067","n/a"
"2023年6月2日","3973","3973","n/a"
"2023年6月3日","3004","3004","n/a"
"2023年6月4日","4652","4652","n/a"
"2023年6月5日","4855","4855","n/a"
"2023年6月6日","6263","4126","n/a"
"2023年6月7日","6266","6266","n/a"
"2023年6月8日","5161","5161","n/a"
"2023年6月9日","7863","7863","n/a"
"2023年6月10日","15299","1693","n/a"
"2023年6月11日","2697","2697","n/a"
"2023年6月12日","4681","4681","n/a"
"2023年6月13日","10741","5053","n/a"
"2023年6月14日","6246","6246","n/a"
"2023年6月15日","4512","4512","n/a"
"2023年6月16日","6462","6462","n/a"
"2023年6月17日","1386","1386","n/a"
"2023年6月18日","2697","2697","n/a"
"2023年6月19日","5926","5926","n/a"
"2023年6月20日","4527","4527","n/a"
"2023年6月21日","10105","5271","n/a"
"2023年6月22日","5161","5161","n/a"
"2023年6月23日","3973","3973","n/a"
"2023年6月24日","1386","1386","n/a"
"2023年6月25日","4807","4807","n/a"
"2023年6月26日","5413","5413","n/a"
"2023年6月27日","4527","4527","n/a"
"2023年6月28日","6246","6246","n/a"
"2023年6月29日","5959","5959","n/a"
"2023年6月30日","3973","3973","n/a"
"2023年7月1日","5276","5276","n/a"
"2023年7月2日","3512","3512","n/a"
"2023年7月3日","5200","5200","n/a"
"2023年7月4日","5721","5721","n/a"
"2023年7月5日","7438","7438","n/a"
"2023年7月6日","4691","2637","n/a"
"2023年7月7日","7006","7006","n/a"
"2023年7月8日","8227","8227","n/a"
"2023年7月9日","4349","4349","n/a"
"2023年7月10日","7943","7943","n/a"
"2023年7月11日","10994","10994","n/a"
"2023年7月12日","7438","7438","n/a"
"2023年7月13日","5197","5197","n/a"
"2023年7月14日","5601","5601","n/a"
"2023年7月15日","5276","5276","n/a"
"2023年7月16日","3509","3509","n/a"
"2023年7月17日","6078","6078","n/a"
"2023年7月18日","9122","9122","n/a"
"2023年7月19日","7438","7438","n/a"
"2023年7月20日","4691","2637","n/a"
"2023年7月21日","5601","5601","n/a"
"2023年7月22日","4789","4789","n/a"
"2023年7月23日","3509","3509","n/a"
"2023年7月24日","5200","5200","n/a"
"2023年7月25日","5721","5721","n/a"
"2023年7月26日","10447","10447","n/a"
"2023年7月27日","8430","8430","n/a"
"2023年7月28日","5601","5601","n/a"
"2023年7月29日","5320","5320","n/a"
"2023年7月30日","3508","3508","n/a"
"2023年7月31日","5200","5200","n/a"
"2023年8月1日","n/a","n/a","n/a"
"2023年8月2日","n/a","n/a","n/a"
"2023年8月3日","n/a","n/a","n/a"
"2023年8月4日","n/a","n/a","n/a"
"2023年8月5日","n/a","n/a","n/a"
"2023年8月6日","n/a","n/a","n/a"
"2023年8月7日","n/a","n/a","n/a"
"2023年8月8日","n/a","n/a","n/a"
"2023年8月9日","n/a","n/a","n/a"
"2023年8月10日","n/a","n/a","n/a"
"2023年8月11日","n/a","n/a","n/a"
"2023年8月12日","n/a","n/a","n/a"
"2023年8月13日","n/a","n/a","n/a"
"2023年8月14日","n/a","n/a","n/a"
"2023年8月15日","n/a","n/a","n/a"
"2023年8月16日","n/a","n/a","n/a"
"2023年8月17日","n/a","n/a","n/a"
"2023年8月18日","n/a","n/a","n/a"
"2023年8月19日","n/a","n/a","n/a"
"2023年8月20日","n/a","n/a","n/a"
"2023年8月21日","n/a","n/a","n/a"
"2023年8月22日","n/a","n/a","n/a"
"2023年8月23日","n/a","n/a","n/a"
"2023年8月24日","n/a","n/a","n/a"
"2023年8月25日","n/a","n/a","n/a"
"2023年8月26日","n/a","n/a","n/a"
"2023年8月27日","n/a","n/a","n/a"
"2023年8月28日","n/a","n/a","n/a"
"2023年8月29日","n/a","n/a","n/a"
"2023年8月30日","n/a","n/a","n/a"
"2023年8月31日","n/a","n/a","n/a"
"2023年9月1日","n/a","n/a","n/a"
"2023年9月2日","n/a","n/a","n/a"
"2023年9月3日","n/a","n/a","n/a"
"2023年9月4日","n/a","n/a","n/a"
"2023年9月5日","n/a","n/a","n/a"
"2023年9月6日","n/a","n/a","n/a"
"2023年9月7日","n/a","n/a","n/a"
"2023年9月8日","n/a","n/a","n/a"
"2023年9月9日","n/a","n/a","n/a"
"2023年9月10日","n/a","n/a","n/a"
"2023年9月11日","n/a","n/a","n/a"
"2023年9月12日","n/a","n/a","n/a"
"2023年9月13日","n/a","n/a","n/a"
"2023年9月14日","n/a","n/a","n/a"
"2023年9月15日","n/a","n/a","n/a"
"2023年9月16日","n/a","n/a","n/a"
"2023年9月17日","n/a","n/a","n/a"
"2023年9月18日","n/a","n/a","n/a"
"2023年9月19日","n/a","n/a","n/a"
"2023年9月20日","n/a","n/a","n/a"
"2023年9月21日","n/a","n/a","n/a"
"2023年9月22日","n/a","n/a","n/a"
"2023年9月23日","n/a","n/a","n/a"
"2023年9月24日","n/a","n/a","n/a"
"2023年9月25日","n/a","n/a","n/a"
"2023年9月26日","n/a","n/a","n/a"
"2023年9月27日","n/a","n/a","n/a"
"2023年9月28日","n/a","n/a","n/a"
"2023年9月29日","n/a","n/a","n/a"
"2023年9月30日","n/a","n/a","n/a"
"2023年10月1日","7944","7944","n/a"
"2023年10月2日","7123","7123","n/a"
"2023年10月3日","5462","5462","n/a"
"2023年10月4日","9938","9938","n/a"
"2023年10月5日","5293","5293","n/a"
"2023年10月6日","10465","10465","n/a"
"2023年10月7日","13395","13395","n/a"
"2023年10月8日","7471","7471","n/a"
"2023年10月9日","7736","7736","n/a"
"2023年10月10日","7568","7568","n/a"
"2023年10月11日","11604","11604","n/a"
