"","All Devices","Desktop","Mobile"
"2023年6月1日","1823808","870971","952837"
"2023年6月2日","1628802","795967","832835"
"2023年6月3日","1381210","496760","884450"
"2023年6月4日","1410084","500156","909928"
"2023年6月5日","1732694","871967","860727"
"2023年6月6日","1485934","884798","601136"
"2023年6月7日","1674947","903191","771756"
"2023年6月8日","1305541","866638","594083"
"2023年6月9日","1388467","771988","616479"
"2023年6月10日","1118593","524317","594276"
"2023年6月11日","1124353","514386","609967"
"2023年6月12日","1572581","885227","687354"
"2023年6月13日","1766379","918890","847489"
"2023年6月14日","1558133","941321","616812"
"2023年6月15日","1445314","885044","560270"
"2023年6月16日","1286028","728703","557325"
"2023年6月17日","1497632","531365","966267"
"2023年6月18日","1154654","515252","639402"
"2023年6月19日","1572581","824274","687354"
"2023年6月20日","1296212","847466","485892"
"2023年6月21日","1568564","862893","705671"
"2023年6月22日","1435540","841457","594083"
"2023年6月23日","1373553","790545","583008"
"2023年6月24日","1118593","515862","594276"
"2023年6月25日","1182171","533289","648882"
"2023年6月26日","1814112","874009","940103"
"2023年6月27日","1302059","816167","485892"
"2023年6月28日","1568564","774354","705671"
"2023年6月29日","1409238","757781","651457"
"2023年6月30日","1171870","775048","583008"
"2023年7月1日","1155016","526215","628801"
"2023年7月2日","1312147","505804","806343"
"2023年7月3日","1464996","855635","609361"
"2023年7月4日","1286121","797671","674159"
"2023年7月5日","1586713","802963","783750"
"2023年7月6日","1801026","810735","990291"
"2023年7月7日","1233856","697673","536183"
"2023年7月8日","974318","497583","476735"
"2023年7月9日","1176402","492789","806343"
"2023年7月10日","1310622","894514","416108"
"2023年7月11日","1516421","872859","674159"
"2023年7月12日","1885660","935257","950403"
"2023年7月13日","1724536","834153","890383"
"2023年7月14日","1666574","743686","922888"
"2023年7月15日","1261418","506103","755315"
"2023年7月16日","1297982","478027","819955"
"2023年7月17日","1182880","766567","416313"
"2023年7月18日","1516421","842262","674159"
"2023年7月19日","1243175","853084","423010"
"2023年7月20日","1413973","812433","601540"
"2023年7月21日","1242352","784137","458215"
"2023年7月22日","977368","456817","476735"
"2023年7月23日","1320505","436480","884025"
"2023年7月24日","1633086","851259","781827"
"2023年7月25日","1538081","819706","718375"
"2023年7月26日","1291296","868286","423010"
"2023年7月27日","1413759","850916","601540"
"2023年7月28日","1242352","743686","466047"
"2023年7月29日","977368","515767","461601"
"2023年7月30日","1229409","500814","728595"
"2023年7月31日","1215677","846659","369018"
"2023年8月1日","1228010","775914","569437"
"2023年8月2日","1172584","749451","423133"
"2023年8月3日","1408665","759039","600826"
"2023年8月4日","1252093","694405","557688"
"2023年8月5日","1014343","456800","557543"
"2023年8月6日","854578","434407","420171"
"2023年8月7日","1271200","717506","553694"
"2023年8月8日","1186607","749559","569437"
"2023年8月9日","1146351","779404","478129"
"2023年8月10日","1415286","736083","679203"
"2023年8月11日","1369687","631952","680302"
"2023年8月12日","1035067","423015","594864"
"2023年8月13日","863611","464418","399193"
"2023年8月14日","1140001","691514","448487"
"2023年8月15日","1420798","740315","680483"
"2023年8月16日","1448051","725047","723004"
"2023年8月17日","1444518","690788","753730"
"2023年8月18日","1470190","668148","802042"
"2023年8月19日","1035067","440203","594864"
"2023年8月20日","826456","451692","374764"
"2023年8月21日","1041243","749508","448487"
"2023年8月22日","1378335","808898","569437"
"2023年8月23日","1393814","863454","530360"
"2023年8月24日","1408665","807839","600826"
"2023年8月25日","1369687","689385","680302"
"2023年8月26日","1252376","438128","814248"
"2023年8月27日","911281","458411","452870"
"2023年8月28日","1344423","764139","580284"
"2023年8月29日","1511550","809100","702450"
"2023年8月30日","1230207","752078","478129"
"2023年8月31日","1408665","761860","600826"
"2023年9月1日","1334747","749437","585310"
"2023年9月2日","1177511","501849","675662"
"2023年9月3日","1275219","506879","768340"
"2023年9月4日","1213715","728651","383479"
"2023年9月5日","1264602","825117","439485"
"2023年9月6日","1500714","820826","680124"
"2023年9月7日","1182659","816894","365765"
"2023年9月8日","1350269","747190","603079"
"2023年9月9日","933369","480723","452646"
"2023年9月10日","857459","497498","444490"
"2023年9月11日","1301983","839201","462782"
"2023年9月12日","1431683","897661","534022"
"2023年9月13日","1690992","876168","814824"
"2023年9月14日","1587842","874313","713529"
"2023年9月15日","1320231","744997","575234"
"2023年9月16日","1100432","541423","559009"
"2023年9月17日","1086275","513925","572350"
"2023年9月18日","1102303","783881","318422"
"2023年9月19日","1223740","782658","441082"
"2023年9月20日","1334293","866518","680124"
"2023年9月21日","1222106","781915","440191"
"2023年9月22日","1380182","777919","602263"
"2023年9月23日","914939","562965","452646"
"2023年9月24日","917867","473377","444490"
"2023年9月25日","1213715","830236","383479"
"2023年9月26日","1455699","844381","611318"
"2023年9月27日","1500714","820590","680124"
"2023年9月28日","1112687","785919","440191"
"2023年9月29日","1334747","779837","585310"
"2023年9月30日","820071","515141","452646"
"2023年10月1日","1083875","507964","575911"
"2023年10月2日","1331977","828297","503680"
"2023年10月3日","1435619","834364","606296"
"2023年10月4日","1207910","796550","411360"
"2023年10月5日","1611531","882542","728989"
"2023年10月6日","1482959","807112","675847"
"2023年10月7日","1064270","480807","583463"
"2023年10月8日","954872","477545","477327"
"2023年10月9日","1389426","808230","581196"
"2023年10月10日","1656017","913079","742938"
"2023年10月11日","1370201","879482","490719"
"2023年10月12日","1597892","872382","725510"
"2023年10月13日","1274679","696959","577720"
"2023年10月14日","1443230","492382","950848"
"2023年10月15日","1028535","521060","507475"
"2023年10月16日","1291767","793407","498360"
"2023年10月17日","1435619","829323","606296"
"2023年10月18日","1600508","847180","753328"
"2023年10月19日","1292931","832101","503147"
"2023年10月20日","1290145","734041","629403"
"2023年10月21日","795107","450160","377182"
"2023年10月22日","1270898","466281","804617"
"2023年10月23日","1425186","769009","656177"
"2023年10月24日","1485112","804841","680271"
"2023年10月25日","1181825","815579","490719"
"2023年10月26日","1284997","781850","503147"
"2023年10月27日","1290145","660742","629403"
"2023年10月28日","795107","417925","377182"
"2023年10月29日","975194","438626","536568"
"2023年10月30日","1273507","689714","583793"
"2023年10月31日","1287565","724700","562865"
"2023年11月1日","1275876","844814","431062"
"2023年11月2日","1426995","838882","588113"
"2023年11月3日","1006716","735958","454800"
"2023年11月4日","991667","512377","479290"
"2023年11月5日","1100773","474642","626131"
"2023年11月6日","1260081","894581","365500"
"2023年11月7日","1523598","952563","571035"
"2023年11月8日","1350382","896969","453413"
"2023年11月9日","1497286","800863","696423"
"2023年11月10日","1442435","762172","680263"
"2023年11月11日","818733","462495","394359"
"2023年11月12日","1219675","524397","727541"
"2023年11月13日","1186192","773879","412313"
"2023年11月14日","1178678","822470","356208"
"2023年11月15日","1536280","932492","603788"
"2023年11月16日","1301601","794136","507465"
"2023年11月17日","957670","749707","454800"
"2023年11月18日","1148446","498972","649474"
"2023年11月19日","1299132","480090","819042"
"2023年11月20日","1211608","873317","338291"
"2023年11月21日","1198037","849107","356208"
"2023年11月22日","1420643","869931","550712"
"2023年11月23日","1345655","720904","624751"
"2023年11月24日","1126394","671594","454800"
"2023年11月25日","898400","504041","394359"
"2023年11月26日","1219675","492134","727541"
"2023年11月27日","1170640","888223","338291"
"2023年11月28日","1567594","918693","648901"
"2023年11月29日","1350382","869931","453413"
"2023年11月30日","1345655","794136","588113"
"2023年12月1日","828485","344895","483590"
"2023年12月2日","666118","239996","426122"
"2023年12月3日","914505","281323","633182"
"2023年12月4日","917538","481932","435606"
"2023年12月5日","1206631","669328","537303"
"2023年12月6日","1337487","654961","682526"
"2023年12月7日","1067856","631559","436297"
"2023年12月8日","957560","589228","368332"
"2023年12月9日","805438","430047","375391"
"2023年12月10日","357275","11762","345513"
